date,Area_A_SSTA,Area_B_SSTA,Area_A_SSHA,Area_B_SSHA,SCSI,PC2
1994-06,302.8173766268835,302.33425564860295,-0.15252018551236748,0.05100546176762661,-1.0655168918484685,-1.4663140494159743
1994-07,302.21010323675756,302.2991328431706,-0.14768140459363957,0.047203376365441904,-1.0222581427180122,-1.4682083013130562
1994-08,301.750992207207,301.6036173385781,-0.1480034893992933,0.03462214498510427,-0.9608852054994058,-1.594558735604603
1994-09,301.738744202029,302.0603299379576,-0.0995446113074205,0.06897159880834161,-0.8902492273296142,-0.8998010061032248
1994-10,302.20031293075624,301.2742234657921,0.06252747349823322,0.05071459781529296,0.012531858938443665,0.1118020632899568
1994-11,301.2875468627502,300.0374211598712,0.1676309628975265,-0.04288560079443893,1.0073016738672556,-0.03788957670132549
1994-12,301.4252561647113,299.6646194501274,0.12239116607773853,-0.10919265143992056,1.1127706180988883,-1.0239094929302088
1995-01,300.9803169949609,298.38729194313055,0.1471123674911661,-0.15132284011916586,1.447448578113407,-1.25733933412141
1995-02,301.0126560678323,297.7750914948147,0.13449677561837456,-0.11681747765640516,1.2115470531174684,-1.0100510813415535
1995-03,301.83534870883426,299.0573467866532,0.014356139575971734,-0.08954826216484608,0.4735694534140217,-1.6245720504216514
1995-04,303.0500693024819,300.6721500743721,-0.010686042402826853,-0.03796295928500497,0.0899494527232085,-1.300325967219802
1995-05,303.47181619211216,301.65276072577143,-0.04885706713780919,-0.017027507447864944,-0.20595516459860852,-1.3746411005533028
1995-06,303.69861684193387,302.75686726339745,-0.15195547703180212,0.03833028798411123,-0.9992340998103023,-1.5870707384947904
1995-07,302.98056475353974,302.92010427570074,-0.12229443462897525,0.08551132075471697,-1.0869443871750661,-0.9040609020022707
1995-08,302.35117560446446,302.19667181224736,-0.120536925795053,0.047980536246276066,-0.8902554948416921,-1.2609895732368597
1995-09,302.11275412383077,301.3383655053183,-0.0949821554770318,0.02517666335650447,-0.6481577308996384,-1.2978388030913945
1995-10,302.41142573934,301.20860930379246,0.016273144876325092,0.02062621648460775,-0.0683996856955358,-0.5247573021728855
1995-11,301.9290545889773,300.4867830983384,0.1913714222614841,0.012055213505461768,0.8511034089214553,0.6780627099027859
1995-12,300.77769104543626,298.7610986129436,0.19489266784452297,-0.04937040714995035,1.1762467555577578,0.09862746732893883
1996-01,300.4095802980127,297.8088381319778,0.1252731007067138,-0.15213555114200597,1.3421833805061072,-1.425905667098282
1996-02,300.59995238860927,297.81883857164297,0.18421616607773855,-0.1468227408142999,1.6106724026203014,-0.9402139656324132
1996-03,301.18681177317853,299.1479049705641,-0.013686660777385156,-0.14024716981132077,0.5869926710946036,-2.3303520520771626
1996-04,302.61196161344566,300.32318882508383,0.025151060070671378,-0.06946375372393247,0.42706301070722874,-1.3472861454825567
1996-05,303.228559474881,301.5840732712445,-0.06456877208480566,-0.0066005958291956305,-0.3368128604172262,-1.3873973942594053
1996-06,303.5390919605174,302.85567937254353,-0.1286707597173145,0.047632969215491566,-0.9292358648198735,-1.3242128282497616
1996-07,302.9501882114513,303.363820377458,-0.11881157243816257,0.0763309831181728,-1.0235486390896344,-0.9689238921694767
1996-08,302.35662024617665,302.31212590220264,-0.1303083922261484,0.07670744786494539,-1.082989836067832,-1.0497360527353987
1996-09,302.34715076008496,302.60785425350883,-0.09296528268551238,0.1368857994041708,-1.1973098554112056,-0.1821664731321537
1996-10,302.42027003436044,302.227037174777,0.02557809187279152,0.10675868917576962,-0.4530211503624596,0.3924484815466687
1996-11,301.90612561755273,300.9132392876705,0.13381532685512368,-0.005052929493545184,0.6486089180860116,0.08632985225223314
1996-12,300.55817226564096,299.8279906458021,0.16553034452296822,-0.08393733862959285,1.2023025733740975,-0.4578797958603406
1997-01,300.2266918211299,297.87519485598386,0.13016625441696114,-0.12925392254220458,1.252127720160636,-1.1644438387927916
1997-02,301.22293059851137,298.2203012022345,0.11035600706713782,-0.06923992055610725,0.8525037648412035,-0.7186725912675697
1997-03,301.54164431803446,298.6131098557392,0.012188250883392223,-0.11331310824230388,0.5816902513521304,-1.8747020602134525
1997-04,302.73701705317995,300.77969545996564,-0.04308060954063605,-0.08707835153922543,0.173658880933489,-2.0224943357999483
1997-05,303.32980319421483,302.4316476300046,-0.07180278268551238,-0.006557398212512413,-0.37324473112957357,-1.4401545339255217
